	minimum	maximum
rxn03408_c	35.63978467632694	44.54973084540757
rxn01358_c	8.046004524763703	10.05750565594883
rxn00258_c	-327.00084565681186	1000.0
rxn09177_c	0.13067921047914516	0.16334901310109873
rxn01218_c	-4.677721738767823	-3.7421773910143186
rxn04996_c	36.82777749887063	46.0347218735876
rxn00001_c	619.6104702885107	886.5348300056032
rxn01297_c	-986.2884507734012	0.0
rxn08669_c	-0.03712477570468309	-0.02969982056367826
rxn00225_c	-997.0300179436387	-12.986680769102847
rxn00148_c	-783.7853062969517	0.0
rxn05569_c	-1000.0	783.7853062969486
rxn00100_c	0.13067921047808587	0.16334901309852265
rxn08976_c	-971.0486149145974	-9.094947017729282e-13
rxn05298_c	-417.9095389476298	117.97900072672769
rxn03903_c	35.63978467632728	44.54973084540825
rxn00097_c	223.78405887547697	462.1513048645736
rxn01217_c	3.742177391014224	4.677721738767729
rxn00692_c	-489.7238620849952	19.214591232503608
rxn00926_c	14.337222475286353	17.921528094108908
rxn00171_c	-593.439156304805	999.5248028709797
rxn03958_c	-506.3819406094671	-405.1055524875791
rxn10060_c	-3.3709296339691974	-2.6967437071753992
rxn00612_c	-1.819114009521627	-1.455291207616483
rxn01966_c	-584.7298359875333	927.3542389014269
rxn02380_c	-584.7298359875484	927.3542389014259
rxn05938_c	5.5706550483591855e-12	1000.0
rxn00272_c	-3.410605131648481e-13	971.048614914596
rxn09111_c	0.029699820563450885	0.03712477570434203
rxn00392_c	0.01187992822590138	0.014849910281927245
rxn00747_c	-998.5447087923822	239.24230533721152
rxn01334_c	-796.4819795878947	-1.1368683772161603e-12
rxn02175_c	0.1306792104808071	0.16334901309726657
rxn02009_c	35.63978467632692	44.549730845408426
rxn00555_c	216.2146937030465	1000.0
rxn01505_c	144.93512435039543	181.16890543799434
rxn00213_c	-90.58445271899677	-72.46756217519817
rxn00139_c	-27.385037338752227	-21.9080298710021
rxn03910_c	405.1055524875777	506.38194060947257
rxn04794_c	-1.1044253820161297e-12	1000.0
rxn00182_c	-1000.0	275.7163934923499
rxn08815_c	-0.037124775704455715	-0.029699820563564572
