gene	norm_1	norm_2	norm_3
CDR20291_2230	34730	38326	34969
CDR20291_2227	24967	27095	25021
CDR20291_2228	28877	31638	28396
CDR20291_0308	366	372	383
CDR20291_0779	8991	9785	9823
CDR20291_2726	84	77	96
CDR20291_1859	34798	33213	32835
CDR20291_1862	13254	14379	13011
CDR20291_1861	50888	50057	47470
CDR20291_1860	27212	27175	25298
CDR20291_1145	34968	34986	36428
CDR20291_0370	180381	178918	168396
CDR20291_1012	94955	91238	94864
CDR20291_0025	878	1141	899
CDR20291_0026	1254	1565	1065
CDR20291_0027	1151	1479	1303
CDR20291_0028	2653	3120	2982
CDR20291_2313	227	241	238
CDR20291_0918	8520	8592	8143
CDR20291_1021	8661	7985	8484
CDR20291_3302	1884	2032	2071
CDR20291_2974	1177	1052	973
CDR20291_0730	349	308	335
CDR20291_1641	2028	1994	1899
CDR20291_0897	9556	11015	7182
CDR20291_0896	8294	9557	5674
CDR20291_1715	5939	5733	5640
CDR20291_0339	871	957	995
CDR20291_2800	702668	729096	777124
CDR20291_0088	80818	85795	79378
CDR20291_3275	9596	9655	9795
CDR20291_3271	397	531	461
CDR20291_2913	41	47	57
CDR20291_3270	428	464	459
CDR20291_2640	1859	1715	1877
CDR20291_2639	285	317	291
CDR20291_1122	55934	57305	53845
CDR20291_2113	6869	6601	7343
CDR20291_3299	24832	25354	25323
CDR20291_2560	197551	187195	194458
CDR20291_2561	38377	35052	38678
CDR20291_2562	29113	27096	29390
CDR20291_2559	25840	25161	24299
CDR20291_2558	28745	27481	26661
CDR20291_2634	14845	15374	14917
CDR20291_2176	97	72	83
CDR20291_1945	95	81	91
CDR20291_1947	107	181	195
CDR20291_0306	192	155	141
CDR20291_1943	479	390	372
CDR20291_1680	32039	30265	32919
CDR20291_2392	11001	11421	12643
CDR20291_1946	145	135	133
CDR20291_1944	279	227	181
CDR20291_0637	50730	50861	50282
CDR20291_1729	6843	7074	5701
CDR20291_1728	4219	4260	3729
CDR20291_1730	5376	5823	4053
CDR20291_2124	1905	1836	2022
CDR20291_1732	2676	2924	2244
CDR20291_1733	1637	1734	1176
CDR20291_2918	394	364	363
CDR20291_2968	5305	5476	5601
CDR20291_3084	34419	37750	35710
CDR20291_2583	21162	20346	21847
CDR20291_1530	2212	2076	2174
CDR20291_2144	49466	50938	51321
CDR20291_1386	61609	60316	63730
CDR20291_0105	54133	51767	52407
CDR20291_2407	18455	17558	18558
CDR20291_2628	76712	76089	74165
CDR20291_2132	179	191	185
CDR20291_2131	122	130	102
CDR20291_2130	201	241	207
CDR20291_3306	113381	117348	115012
CDR20291_3310	43933	44548	43915
CDR20291_3303	10024	9646	9835
CDR20291_3304	146302	147968	148117
CDR20291_3309	12057	12712	12321
CDR20291_3308	25805	25445	25520
CDR20291_3305	56510	56347	57681
CDR20291_3307	18305	17709	18214
CDR20291_3311	12777	12448	12403
CDR20291_3312	2278	2098	2213
CDR20291_1173	23828	21958	24148
CDR20291_2821	898	946	943
CDR20291_0910	95309	107972	107094
CDR20291_3090	1906	2509	2125
CDR20291_3193	368	392	427
CDR20291_1716	734	850	729
CDR20291_2567	212	235	229
CDR20291_0360	3481	3710	4067
CDR20291_2934	2446	2589	2631
CDR20291_2954	4819	4922	5092
CDR20291_0359	5654	6230	6866
CDR20291_2955	3534	4195	4122
