gene	norm_1	norm_2	norm_3
CDR20291_3551	1357	1304	1352
CDR20291_3552	4365	4218	4190
CDR20291_0001	2629	2656	2606
CDR20291_0002	3886	3888	3686
CDR20291_0003	23460	23789	24914
CDR20291_0004	6811	6785	6267
CDR20291_0005	16067	16057	14126
CDR20291_0006	4649	4541	4901
CDR20291_0007	12113	12753	13076
CDR20291_0008	6707	6740	6558
CDR20291_0009	661	686	630
CDR20291_0010	46757	46300	48033
CDR20291_0011	3273	3023	4028
CDR20291_0012	2129	2046	2544
CDR20291_0013	2864	2754	3110
CDR20291_0014	8094	7767	9387
CDR20291_0015	31326	30823	35178
CDR20291_0016	11309	11409	11788
CDR20291_0017	7078	6974	7746
CDR20291_0018	18045	17983	17041
CDR20291_0019	13677	13573	11999
CDR20291_0020	569	591	654
CDR20291_0021	32	41	56
CDR20291_0022	75	81	113
CDR20291_0023	339	262	302
CDR20291_0024	465	471	434
CDR20291_0025	500	507	563
CDR20291_0026	759	745	893
CDR20291_0027	735	744	826
CDR20291_0028	1498	1523	1703
CDR20291_0029	176	228	229
CDR20291_0030	17	17	24
CDR20291_0031	15	9	24
CDR20291_0032	65	87	106
CDR20291_0033	3	3	0
CDR20291_0034	29	15	22
CDR20291_0035	1118	1100	1182
CDR20291_0036	1758	1730	1421
CDR20291_0037	1226	1237	1017
CDR20291_0038	34965	37076	29923
CDR20291_0039	47967	49039	42805
CDR20291_0040	23872	23650	24509
CDR20291_0041	20898	20488	22514
CDR20291_0042	4935	5221	5528
CDR20291_0043	7827	7783	8892
CDR20291_0044	3578	3383	3890
CDR20291_0045	13651	13075	15435
CDR20291_0046	8099	8208	9732
CDR20291_0047	1399	1245	1595
CDR20291_0048	7432	7393	8578
CDR20291_0049	4525	4260	5329
CDR20291_0050	6774	6652	8628
CDR20291_0051	106589	108271	117043
CDR20291_0052	1239	1129	1017
CDR20291_0053	4390	4427	3875
CDR20291_0054	24127	24488	22147
CDR20291_0055	19591	19497	18283
CDR20291_0056	44480	45602	42261
CDR20291_0057	31699	32757	29440
CDR20291_0058	24112	24555	22426
CDR20291_0059	3282	3478	3331
CDR20291_0060	126509	130148	102219
CDR20291_0061	147456	151891	131681
CDR20291_0062	23887	24548	22062
CDR20291_0063	35490	36227	32168
CDR20291_0064	216783	223906	204364
CDR20291_0065	30181	30749	30718
CDR20291_0066	11566	11977	11605
CDR20291_0067	42133	42751	40668
CDR20291_0068	37746	38323	37803
CDR20291_0069	9895	10038	9740
CDR20291_0070	56310	57495	56286
CDR20291_0071	9906	9925	9926
CDR20291_0072	11775	11668	12265
CDR20291_0073	47108	46159	51180
CDR20291_0074	17395	16563	19480
CDR20291_0075	5483	5387	5849
CDR20291_0076	7912	7554	8267
CDR20291_0077	13650	13510	14907
CDR20291_0078	11135	11114	12050
CDR20291_0079	24043	24334	25739
