reaction	linear_coefficient
rxn02201_c	1.0
rxn00836_c	1.0
rxn00390_c	1.0
rxn00423_c	1.0
rxn00364_c	1.0
rxn03408_c	1.0
rxn02177_c	1.0
rxn01452_c	1.0
rxn00022_c	1.0
rxn00973_c	1.0
rxn04031_c	1.0
rxn00322_c	1.0
rxn05457_c	1.0
rxn10278_c	1.0
rxn04271_c	1.0
rxn05392_c	1.0
rxn01358_c	1.0
rxn01219_c	1.0
rxn02168_c	1.0
rxn05958_c	1.0
rxn00519_c	1.0
rxn00258_c	1.0
rxn00800_c	1.0
rxn09177_c	1.0
rxn00211_c	1.0
rxn01210_c	1.0
rxn00192_c	1.0
rxn01218_c	1.0
rxn05367_c	1.0
rxn01199_c	1.0
rxn00545_c	1.0
rxn01547_c	1.0
rxn02320_c	1.0
rxn10287_c	1.0
rxn06488_c	1.0
rxn02504_c	1.0
rxn04082_c	1.0
rxn04996_c	1.0
rxn05404_c	1.0
rxn02796_c	1.0
rxn10262_c	1.0
rxn10225_c	1.0
rxn03463_c	1.0
rxn01486_c	1.0
rxn00898_c	1.0
rxn05040_c	1.0
rxn05400_c	1.0
rxn03030_c	1.0
rxn01636_c	1.0
rxn05235_c	1.0
rxn02090_c	1.0
rxn02988_c	1.0
rxn01021_c	0.9852941176470589
rxn00165_c	1.0
rxn05814_c	1.0
rxn00539_c	1.0
rxn00678_c	1.0
rxn03667_c	1.0
rxn00001_c	1.0
rxn01322_c	1.0
rxn01331_c	1.0
rxn00710_c	1.0
rxn10317_c	1.0
rxn01114_c	1.0
rxn02305_c	1.0
rxn00470_c	1.0
rxn08817_c	0.9852941176470589
rxn00910_c	1.0
rxn08296_c	1.0
rxn01297_c	0.9852941176470589
rxn10254_c	1.0
rxn05459_c	1.0
rxn05453_c	1.0
rxn01682_c	1.0
rxn06493_c	0.9852941176470589
rxn00337_c	1.0
rxn01231_c	1.0
rxn08308_c	1.0
rxn08823_c	0.9852941176470589
rxn05346_c	1.0
rxn03248_c	1.0
rxn05733_c	1.0
rxn00416_c	1.0
rxn12512_c	1.0
rxn08669_c	1.0
rxn00902_c	1.0
rxn06672_c	1.0
rxn02961_c	1.0
rxn00649_c	1.0
rxn01739_c	1.0
rxn02400_c	1.0
rxn01268_c	1.0
rxn00641_c	1.0
rxn01974_c	1.0
rxn00242_c	1.0
rxn00568_c	1.0
rxn08971_c	1.0
rxn01635_c	1.0
rxn04384_c	1.0
rxn00060_c	1.0
rxn00225_c	1.0
rxn05350_c	1.0
rxn08838_c	0.9852941176470589
rxn00780_c	1.0
rxn00148_c	1.0
rxn01102_c	1.0
rxn05569_c	1.0
rxn05358_c	1.0
rxn00100_c	1.0
rxn03482_c	0.9852941176470589
rxn00789_c	1.0
rxn05158_c	1.0
rxn08976_c	1.0
rxn00781_c	1.0
rxn05298_c	1.0
rxn05408_c	1.0
rxn00292_c	1.0
rxn02264_c	1.0
rxn03185_c	1.0
rxn02687_c	1.0
rxn03903_c	1.0
rxn00097_c	1.0
rxn01217_c	1.0
rxn02212_c	1.0
rxn00695_c	1.0
rxn07670_c	1.0
rxn00655_c	0.9852941176470589
rxn00692_c	1.0
rxn01492_c	1.0
rxn00802_c	1.0
rxn02160_c	1.0
rxn00926_c	1.0
rxn08884_c	1.0
rxn05413_c	1.0
rxn10284_c	1.0
rxn00913_c	1.0
rxn08521_c	1.0
rxn08809_c	0.9852941176470589
rxn00171_c	1.0
rxn03958_c	1.0
rxn00259_c	1.0
rxn00345_c	1.0
rxn00178_c	1.0
rxn01362_c	1.0
rxn03174_c	0.9852941176470589
rxn00549_c	1.0
rxn04779_c	1.0
rxn07875_c	1.0
rxn00506_c	1.0
rxn00340_c	1.0
rxn10060_c	1.0
rxn05127_c	1.0
rxn00305_c	1.0
rxn01445_c	1.0
rxn00612_c	1.0
rxn08841_c	0.9852941176470589
rxn12405_c	1.0
rxn02159_c	1.0
rxn10222_c	1.0
rxn01966_c	1.0
rxn10263_c	1.0
rxn02791_c	1.0
rxn08845_c	0.9852941176470589
rxn01292_c	1.0
rxn00300_c	1.0
rxn02380_c	1.0
rxn08792_c	1.0
rxn10131_c	1.0
rxn05417_c	1.0
rxn08799_c	0.9852941176470589
rxn05234_c	1.0
rxn01157_c	1.0
rxn01844_c	1.0
rxn05938_c	1.0
rxn00537_c	1.0
rxn03419_c	0.9852941176470589
rxn11610_c	1.0
rxn10256_c	1.0
rxn04781_c	1.0
rxn00758_c	1.0
rxn02975_c	1.0
rxn00272_c	1.0
rxn05555_c	1.0
rxn09111_c	1.0
rxn06078_c	1.0
rxn03848_c	1.0
rxn05348_c	1.0
rxn00907_c	1.0
rxn05458_c	1.0
rxn08300_c	1.0
rxn08297_c	1.0
rxn00012_c	1.0
rxn01280_c	1.0
rxn07721_c	1.0
rxn10322_c	1.0
rxn09320_c	1.0
rxn09114_c	1.0
rxn08822_c	0.9852941176470589
rxn02821_c	1.0
rxn05345_c	1.0
rxn04068_c	1.0
rxn01522_c	1.0
rxn03891_c	1.0
rxn01465_c	1.0
rxn05145_c	1.0
rxn01301_c	1.0
rxn01643_c	1.0
rxn00295_c	1.0
rxn00499_c	1.0
rxn08844_c	0.9852941176470589
rxn00707_c	1.0
rxn06937_c	1.0
rxn01637_c	1.0
rxn02489_c	1.0
rxn03095_c	1.0
rxn00566_c	1.0
rxn00708_c	1.0
rxn02639_c	1.0
rxn03762_c	1.0
rxn01269_c	1.0
rxn00392_c	1.0
rxn00747_c	1.0
rxn01334_c	1.0
rxn05219_c	0.9852941176470589
rxn00029_c	1.0
rxn06673_c	1.0
rxn07734_c	1.0
rxn02175_c	1.0
rxn02835_c	1.0
rxn03884_c	1.0
rxn04385_c	1.0
rxn03861_c	1.0
rxn00146_c	1.0
rxn08839_c	0.9852941176470589
rxn03536_c	1.0
rxn02009_c	1.0
rxn09562_c	1.0
rxn05359_c	1.0
rxn10277_c	1.0
rxn00555_c	1.0
rxn03282_c	1.0
rxn03080_c	1.0
rxn01044_c	1.0
rxn00143_c	1.0
rxn00147_c	1.0
rxn01505_c	1.0
rxn00737_c	1.0
rxn08843_c	0.9852941176470589
rxn04723_c	1.0
rxn00213_c	1.0
rxn01740_c	1.0
rxn02762_c	1.0
rxn05655_c	1.0
rxn02314_c	0.9852941176470589
rxn04043_c	1.0
rxn00139_c	1.0
rxn07261_c	1.0
rxn00790_c	1.0
rxn10285_c	1.0
rxn03910_c	1.0
rxn00422_c	1.0
rxn07100_c	1.0
rxn03540_c	1.0
rxn08311_c	1.0
rxn03175_c	1.0
rxn10264_c	1.0
rxn03421_c	0.9852941176470589
rxn01023_c	1.0
rxn04712_c	1.0
rxn05371_c	1.0
rxn04794_c	1.0
rxn07584_c	1.0
rxn01717_c	1.0
rxn00182_c	1.0
rxn01119_c	1.0
rxn00532_c	1.0
rxn05172_c	1.0
rxn00132_c	1.0
rxn07622_c	1.0
rxn02819_c	1.0
rxn01479_c	1.0
rxn08615_c	1.0
rxn08815_c	0.9852941176470589
rxn00126_c	1.0
rxn06905_c	1.0
rxn02584_c	1.0
rxn08306_c	1.0
rxn08821_c	0.9852941176470589
rxn01871_c	1.0
rxn00405_c	1.0
rxn14301_c	1.0
rxn00299_c	0.9852941176470589
rxn01132_c	1.0
rxn04737_c	1.0
rxn05735_c	1.0
rxn03921_c	1.0
rxn02484_c	1.0
rxn05671_c	1.0
rxn03618_c	1.0
rxn01133_c	1.0
rxn10321_c	1.0
rxn01000_c	0.9852941176470589
rxn00363_c	1.0
rxn01281_c	1.0
rxn01670_c	1.0
rxn03642_c	1.0
rxn02522_c	1.0
rxn05183_c	1.0
rxn01300_c	1.0
rxn03886_c	1.0
rxn00786_c	1.0
rxn14054_c	1.0
rxn03908_c	1.0
rxn01100_c	0.9852941176470589
rxn00838_c	1.0
rxn02283_c	1.0
rxn05396_c	1.0
rxn00831_c	1.0
rxn03721_c	1.0
rxn00748_c	1.0
rxn01255_c	1.0
rxn05872_c	1.0
rxn04727_c	1.0
rxn00776_c	1.0
rxn05485_c	1.0
rxn14089_c	1.0
rxn00214_c	1.0
rxn10114_c	1.0
rxn01211_c	0.9852941176470589
rxn05496_c	1.0
rxn00109_c	1.0
rxn00527_c	1.0
rxn01215_c	1.0
rxn03537_c	1.0
rxn10279_c	1.0
rxn04270_c	1.0
rxn01654_c	1.0
rxn10276_c	1.0
rxn11838_c	1.0
rxn01917_c	1.0
rxn01951_c	1.0
rxn10271_c	1.0
rxn10282_c	1.0
rxn01509_c	1.0
rxn01548_c	1.0
rxn01145_c	1.0
rxn02548_c	1.0
rxn05202_c	1.0
rxn02115_c	1.0
rxn08352_c	1.0
rxn00187_c	1.0
rxn00376_c	1.0
rxn08850_c	0.9852941176470589
rxn00500_c	1.0
rxn05734_c	1.0
rxn00772_c	1.0
rxn02229_c	1.0
rxn00546_c	1.0
rxn02503_c	1.0
rxn03135_c	1.0
rxn01345_c	1.0
rxn05429_c	1.0
rxn05645_c	1.0
rxn08310_c	1.0
rxn00915_c	1.0
rxn03837_c	1.0
rxn02853_c	1.0
rxn01967_c	0.9852941176470589
rxn06752_c	1.0
rxn10224_c	1.0
rxn01135_c	1.0
rxn01653_c	1.0
rxn00474_c	1.0
rxn03147_c	0.9852941176470589
rxn03843_c	1.0
rxn11809_c	1.0
rxn01116_c	1.0
rxn00606_c	1.0
rxn02182_c	1.0
rxn02811_c	0.9852941176470589
rxn03062_c	1.0
rxn10258_c	1.0
rxn08847_c	0.9852941176470589
rxn01544_c	0.9852941176470589
rxn00863_c	1.0
rxn09113_c	1.0
rxn00711_c	1.0
rxn10316_c	1.0
rxn01270_c	1.0
rxn00908_c	1.0
rxn08299_c	1.0
rxn01138_c	1.0
rxn14090_c	1.0
rxn02402_c	1.0
rxn10324_c	1.0
rxn05452_c	1.0
rxn01607_c	1.0
rxn05465_c	1.0
rxn08820_c	0.9852941176470589
rxn05494_c	1.0
rxn05347_c	1.0
rxn04413_c	1.0
rxn00404_c	1.0
rxn00145_c	1.0
rxn05388_c	1.0
rxn14287_c	1.0
rxn01404_c	1.0
rxn01870_c	1.0
rxn01303_c	1.0
rxn04736_c	1.0
rxn03489_c	1.0
rxn00297_c	1.0
rxn02131_c	1.0
rxn06023_c	1.0
rxn03481_c	0.9852941176470589
rxn00611_c	1.0
rxn05919_c	1.0
rxn00832_c	0.9852941176470589
rxn05871_c	1.0
rxn01106_c	1.0
rxn00690_c	1.0
rxn00931_c	1.0
rxn02418_c	1.0
rxn08756_c	1.0
rxn09450_c	1.0
rxn00938_c	1.0
rxn05527_c	1.0
rxn00412_c	1.0
rxn10275_c	1.0
rxn02339_c	1.0
rxn00787_c	1.0
rxn02737_c	1.0
rxn04604_c	1.0
rxn08846_c	0.9852941176470589
rxn03005_c	1.0
rxn03437_c	1.0
rxn00552_c	1.0
rxn01639_c	1.0
rxn05409_c	1.0
rxn00313_c	1.0
rxn00735_c	1.0
rxn00775_c	1.0
rxn02680_c	1.0
rxn05363_c	1.0
rxn00547_c	1.0
rxn00505_c	1.0
rxn08647_c	1.0
rxn10168_c	1.0
rxn03366_c	1.0
rxn02421_c	1.0
rxn07879_c	1.0
rxn08025_c	1.0
rxn02895_c	1.0
rxn10283_c	1.0
rxn00189_c	1.0
rxn00543_c	0.9852941176470589
rxn09992_c	1.0
rxn00420_c	1.0
rxn06205_c	1.0
rxn04045_c	1.0
rxn09657_c	1.0
rxn10253_c	1.0
rxn10221_c	1.0
rxn02792_c	1.0
rxn05451_c	1.0
rxn00469_c	1.0
rxn02804_c	1.0
rxn05005_c	1.0
rxn02795_c	1.0
rxn09996_c	1.0
rxn00048_c	1.0
rxn07876_c	1.0
rxn12191_c	1.0
rxn05231_c	1.0
rxn00283_c	0.9852941176470589
rxn08851_c	0.9852941176470589
rxn02155_c	1.0
rxn05549_c	1.0
rxn02228_c	1.0
rxn05170_c	1.0
rxn02475_c	0.9852941176470589
rxn00575_c	1.0
rxn05460_c	1.0
rxn03108_c	1.0
rxn07449_c	1.0
rxn01018_c	1.0
rxn00714_c	1.0
rxn05236_c	1.0
rxn01201_c	1.0
rxn00124_c	1.0
rxn08793_c	1.0
rxn00947_c	1.0
rxn00440_c	1.0
rxn02789_c	0.9852941176470589
rxn03666_c	1.0
rxn00988_c	1.0
rxn01600_c	1.0
rxn05455_c	1.0
rxn01506_c	1.0
rxn00410_c	1.0
rxn01333_c	1.0
rxn10257_c	1.0
rxn06394_c	1.0
rxn12510_c	1.0
rxn00151_c	1.0
rxn03933_c	1.0
rxn04780_c	1.0
rxn00414_c	1.0
rxn09110_c	1.0
rxn05594_c	0.9852941176470589
rxn05349_c	1.0
rxn00303_c	1.0
rxn01977_c	1.0
rxn01073_c	1.0
rxn02405_c	1.0
rxn00011_c	1.0
rxn01986_c	1.0
rxn02200_c	1.0
rxn01069_c	1.0
rxn10323_c	1.0
rxn08783_c	1.0
rxn08975_c	1.0
rxn01646_c	1.0
rxn00105_c	1.0
rxn03243_c	1.0
rxn03446_c	1.0
rxn01302_c	0.9852941176470589
