exch_id	substrate
EX_cpd00023_e	L-Glutamate
EX_cpd00051_e	L-Arginine
EX_cpd00064_e	Ornithine
EX_cpd00060_e	L-Methionine
EX_cpd00637_e	D-Methionine
EX_cpd00035_e	L-Alanine
EX_cpd00117_e	D-Alanine
EX_cpd00065_e	L-Tryptophan
EX_cpd00156_e	L-Valine
EX_cpd00039_e	L-Lysine
EX_cpd00322_e	L-Isoleucine
EX_cpd00084_e	L-Cysteine
EX_cpd00107_e	L-Leucine
EX_cpd00069_e	L-Tyrosine
EX_cpd00066_e	L-Phenylalanine
EX_cpd00129_e	L-Proline
EX_cpd00567_e	D-Proline
EX_cpd29317_e	4-hydroxyproline
EX_cpd00033_e	Glycine
EX_cpd00119_e	L-Histidine
EX_cpd00132_e	L-Asparagine
EX_cpd00054_e	L-Serine
EX_cpd00161_e	L-Threonine
EX_cpd00053_e	L-Glutamine
EX_cpd00041_e	L-Aspartate
EX_cpd00210_e	Taurine
EX_cpd11592_e	gly-glu-L
EX_cpd11590_e	met-L-ala-L
EX_cpd11588_e	gly-pro-L
EX_cpd11586_e	ala-L-glu-L
EX_cpd11582_e	ala-L-Thr-L
EX_cpd11581_e	gly-asn-L
EX_cpd15551_e	L-Prolinylglycine
EX_cpd15603_e	Gly-Cys
EX_cpd15604_e	Gly-Leu
EX_cpd15605_e	Gly-Phe
EX_cpd15606_e	Gly-Tyr
EX_cpd29695_e	L-ala-L-asp
EX_cpd29694_e	L-ala-gly
EX_cpd29697_e	L-ala-L-his
EX_cpd29698_e	L-ala-L-leu
EX_cpd29696_e	L-ala-L-gln
EX_cpd29699_e	L-ala-L-thr
EX_cpd29693_e	gly-L-met
EX_cpd29690_e	gly-L-asn
EX_cpd29691_e	gly-L-gln
EX_cpd29700_e	L-met-L-ala
EX_cpd00320_e	D-Aspartate
EX_cpd00731_e	Ala-ala
EX_cpd00186_e	D-Glutamate
EX_cpd00085_e	beta-Alanine
