reaction	linear_coefficient
rxn02201_c	0.014659238378270297
rxn00836_c	0.011550178192667637
rxn00390_c	0.004422471487212863
rxn00423_c	0.0013094906708591278
rxn00364_c	0.0036265834447445906
rxn03408_c	0.03403107491933302
rxn02177_c	0.00172703784584864
rxn01452_c	0.05397532355005273
rxn00022_c	0.0033972265458066895
rxn00973_c	0.006002485679896182
rxn04031_c	0.0001548649146674717
rxn00322_c	0.002130862813209389
rxn05457_c	0.047449433664888005
rxn10278_c	0.007992205786066863
rxn04271_c	0.03185708516786181
rxn05392_c	0.10396336562626195
rxn01358_c	0.011791296983858763
rxn01219_c	0.0036265834447445906
rxn02168_c	0.058137073092319094
rxn05958_c	0.0055084862052607025
rxn00519_c	0.03594434272585774
rxn00258_c	0.010575901451025441
rxn00800_c	0.015402197905599053
rxn09177_c	0.03594434272585774
rxn00211_c	0.023929569789187685
rxn01210_c	0.012224526681852576
rxn00192_c	0.00011957923790779461
rxn01218_c	0.005279129306322801
rxn05367_c	0.10396336562626195
rxn01199_c	0.0003332536138413948
rxn00545_c	0.04882361474313988
rxn01547_c	0.001262443101846225
rxn02320_c	0.0016231411309451465
rxn10287_c	0.007992205786066863
rxn06488_c	1.9603153755376165e-06
rxn02504_c	0.0038265356130494275
rxn04082_c	7.253166889489181e-05
rxn04996_c	0.008719482790391319
rxn05404_c	0.10396336562626195
rxn02796_c	0.12181595775128302
rxn10262_c	0.007872626548159067
rxn10225_c	0.010536695143514688
rxn03463_c	0.00976237057017733
rxn01486_c	0.004050011565860716
rxn00898_c	0.0016505855462026731
rxn05040_c	0.0008958641266206907
rxn05400_c	0.10396336562626195
rxn03030_c	0.03453487597084619
rxn01636_c	0.00011957923790779461
rxn05235_c	0.05443011671717746
rxn02090_c	0.0008958641266206907
rxn02988_c	0.0011859908022002579
rxn01021_c	0.005152688964600625
rxn00165_c	0.027744343509983886
rxn05814_c	0.006561175561924403
rxn00539_c	0.015402197905599053
rxn00678_c	0.010575901451025441
rxn03667_c	0.007219841528105042
rxn00001_c	0.08538545681229197
rxn01322_c	0.0025307671498190627
rxn01331_c	0.2219390655568668
rxn00710_c	0.003218837846632766
rxn10317_c	0.041325408431708496
rxn01114_c	0.0005528089359016079
rxn02305_c	0.0005234042052685436
rxn00470_c	0.020395121167093362
rxn08817_c	0.005152688964600625
rxn00910_c	0.0033050917231564215
rxn08296_c	0.0028718620251626083
rxn01297_c	0.005152688964600625
rxn10254_c	0.0028718620251626083
rxn05459_c	0.047449433664888005
rxn05453_c	0.047449433664888005
rxn01682_c	0.0258898851647253
rxn06493_c	0.005152688964600625
rxn00337_c	0.022555388710935816
rxn01231_c	0.002130862813209389
rxn08308_c	0.010536695143514688
rxn08823_c	0.005152688964600625
rxn05346_c	0.10396336562626195
rxn03248_c	0.0023719816044005157
rxn05733_c	0.0014075064396360086
rxn00416_c	0.0018721011836384238
rxn12512_c	0.03594434272585774
rxn08669_c	0.0008154911962236484
rxn00902_c	0.0008958641266206907
rxn06672_c	0.044275683071892606
rxn02961_c	0.004775328254809634
rxn00649_c	0.0014075064396360086
rxn01739_c	0.001405546124260471
rxn02400_c	0.005279129306322801
rxn01268_c	0.0024190291734134187
rxn00641_c	0.014914079377090186
rxn01974_c	0.006433755062514457
rxn00242_c	0.02195161157527023
rxn00568_c	0.007098301974821709
rxn08971_c	0.009981925892237543
rxn01635_c	0.0017152759535954145
rxn04384_c	0.00644747727014322
rxn00060_c	0.00898020473533782
rxn00225_c	0.08346042711351402
rxn05350_c	0.10396336562626195
rxn08838_c	0.005152688964600625
rxn00780_c	0.0023582593967717527
rxn00148_c	0.14090550887826833
rxn01102_c	0.0066572310153257454
rxn05569_c	0.09830589545246039
rxn05358_c	0.047449433664888005
rxn00100_c	0.0040970591348736185
rxn03482_c	0.005152688964600625
rxn00789_c	0.0012349986865886984
rxn05158_c	0.00012349986865886983
rxn08976_c	0.009981925892237543
rxn00781_c	0.2219390655568668
rxn05298_c	0.14653357432143682
rxn05408_c	0.047449433664888005
rxn00292_c	0.0009056657034983789
rxn02264_c	0.016074586079408454
rxn03185_c	0.00976237057017733
rxn02687_c	0.03185708516786181
rxn03903_c	0.019561987132489876
rxn00097_c	0.07167893170653294
rxn01217_c	0.008303895930777343
rxn02212_c	0.0036461865984999666
rxn00695_c	0.002960076217061801
rxn07670_c	0.04931173327164874
rxn00655_c	0.005152688964600625
rxn00692_c	0.03153951407702471
rxn01492_c	0.02510967964526133
rxn00802_c	0.010174036799040229
rxn02160_c	0.008347022869039171
rxn00926_c	0.005171311960668232
rxn08884_c	0.004051971881236253
rxn05413_c	0.10396336562626195
rxn10284_c	0.007992205786066863
rxn00913_c	0.005279129306322801
rxn08521_c	0.003959837058585985
rxn08809_c	0.005152688964600625
rxn00171_c	0.6492466508011809
rxn03958_c	0.014394595802572718
rxn00259_c	0.002183791328348905
rxn00345_c	0.004422471487212863
rxn00178_c	0.1069567672047079
rxn01362_c	0.010983647049137265
rxn03174_c	0.005152688964600625
rxn00549_c	0.016690125107327265
rxn04779_c	0.008303895930777343
rxn07875_c	0.03185708516786181
rxn00506_c	0.006139707756183815
rxn00340_c	0.01846225020681327
rxn10060_c	0.011914796852517633
rxn05127_c	0.03185708516786181
rxn00305_c	0.03594434272585774
rxn01445_c	0.005279129306322801
rxn00612_c	0.02271417425635436
rxn08841_c	0.005152688964600625
rxn12405_c	0.0003430551907190829
rxn02159_c	0.00894099842782707
rxn10222_c	0.010536695143514688
rxn01966_c	0.008464641791571428
rxn10263_c	0.007872626548159067
rxn02791_c	0.005530049674391616
rxn08845_c	0.005152688964600625
rxn01292_c	0.012943962424674882
rxn00300_c	0.0008958641266206907
rxn02380_c	0.09497335931404645
rxn08792_c	0.013688882267379176
rxn10131_c	0.04084317084932624
rxn05417_c	0.10396336562626195
rxn08799_c	0.005152688964600625
rxn05234_c	0.05443011671717746
rxn01157_c	0.004242122472663402
rxn01844_c	0.01969724889340197
rxn05938_c	1.0
rxn00537_c	0.021545826292533942
rxn03419_c	0.005152688964600625
rxn11610_c	0.007219841528105042
rxn10256_c	0.0028718620251626083
rxn04781_c	0.008303895930777343
rxn00758_c	0.0008154911962236484
rxn02975_c	0.0009056657034983789
rxn00272_c	0.015541380297262224
rxn05555_c	0.00018819027605161118
rxn09111_c	0.007872626548159067
rxn06078_c	0.008582260714103685
rxn03848_c	0.004424431802588401
rxn05348_c	0.10396336562626195
rxn00907_c	0.003959837058585985
rxn05458_c	0.047449433664888005
rxn08300_c	0.0028718620251626083
rxn08297_c	0.0028718620251626083
rxn00012_c	0.036101167955900744
rxn01280_c	3.52856767596771e-05
rxn07721_c	0.04931173327164874
rxn10322_c	0.041325408431708496
rxn09320_c	0.026393686216238468
rxn09114_c	0.007872626548159067
rxn08822_c	0.005152688964600625
rxn02821_c	0.004289170041676305
rxn05345_c	0.10396336562626195
rxn04068_c	0.12181595775128302
rxn01522_c	0.002050489882812347
rxn03891_c	0.004050011565860716
rxn01465_c	0.01982074876206084
rxn05145_c	0.01871709120563316
rxn01301_c	0.0024190291734134187
rxn01643_c	0.03185708516786181
rxn00295_c	0.02124981867082776
rxn00499_c	0.013688882267379176
rxn08844_c	0.005152688964600625
rxn00707_c	0.0036265834447445906
rxn06937_c	0.04017078267551684
rxn01637_c	0.0002156346913091378
rxn02489_c	0.0010918956641744525
rxn03095_c	0.12181595775128302
rxn00566_c	0.008566578191099385
rxn00708_c	0.005279129306322801
rxn02639_c	0.004779248885560709
rxn03762_c	0.031766910660587074
rxn01269_c	0.0024190291734134187
rxn00392_c	0.02476270382379117
rxn00747_c	0.051948357451746835
rxn01334_c	0.14293443529194977
rxn05219_c	0.005152688964600625
rxn00029_c	0.0258898851647253
rxn06673_c	0.029728182670027956
rxn07734_c	0.04931173327164874
rxn02175_c	0.004792971093189473
rxn02835_c	0.001262443101846225
rxn03884_c	0.0005390867282728445
rxn04385_c	0.004892947177341891
rxn03861_c	0.05397532355005273
rxn00146_c	0.09960362423106629
rxn08839_c	0.005152688964600625
rxn03536_c	0.0063259377168598885
rxn02009_c	0.0008664593959876265
rxn09562_c	0.006561175561924403
rxn05359_c	0.10396336562626195
rxn10277_c	0.007992205786066863
rxn00555_c	0.04621639529367485
rxn03282_c	0.6492466508011809
rxn03080_c	0.0004410709594959637
rxn01044_c	0.09497335931404645
rxn00143_c	0.007082619451817408
rxn00147_c	0.012843986340522463
rxn01505_c	0.016427442847005227
rxn00737_c	0.03517785941402253
rxn08843_c	0.005152688964600625
rxn04723_c	0.03185708516786181
rxn00213_c	0.020616636804529114
rxn01740_c	0.002293568989379011
rxn02762_c	0.01969724889340197
rxn05655_c	0.09830589545246039
rxn02314_c	0.005152688964600625
rxn04043_c	0.0002822854140774168
rxn00139_c	0.01311843049309773
rxn07261_c	0.019561987132489876
rxn00790_c	0.010967964526132964
rxn10285_c	0.007992205786066863
rxn03910_c	0.005306573721580328
rxn00422_c	0.015541380297262224
rxn07100_c	0.019561987132489876
rxn03540_c	0.015065023661006583
rxn08311_c	0.010536695143514688
rxn03175_c	0.0009546735878868193
rxn10264_c	0.007872626548159067
rxn03421_c	0.005152688964600625
rxn01023_c	0.0006939516429403163
rxn04712_c	0.006676834169081122
rxn05371_c	0.10396336562626195
rxn04794_c	0.2679261039516037
rxn07584_c	0.004461677794723615
rxn01717_c	0.0026915130106131475
rxn00182_c	0.0634318849216462
rxn01119_c	0.029565476493858333
rxn00532_c	0.03185708516786181
rxn05172_c	0.05478493380014977
rxn00132_c	0.005279129306322801
rxn07622_c	0.007219841528105042
rxn02819_c	0.0020779342980698735
rxn01479_c	0.004775328254809634
rxn08615_c	0.0063788662319994045
rxn08815_c	0.005152688964600625
rxn00126_c	0.053297054430116717
rxn06905_c	0.007219841528105042
rxn02584_c	0.0174213227424028
rxn08306_c	0.010536695143514688
rxn08821_c	0.005152688964600625
rxn01871_c	0.0011644273330693442
rxn00405_c	0.002130862813209389
rxn14301_c	0.029765428662163168
rxn00299_c	0.005152688964600625
rxn01132_c	0.008464641791571428
rxn04737_c	0.03185708516786181
rxn05735_c	0.006139707756183815
rxn03921_c	0.03185708516786181
rxn02484_c	0.0005194835745174684
rxn05671_c	0.0007939277270927347
rxn03618_c	0.03185708516786181
rxn01133_c	0.005300692775453715
rxn10321_c	0.041325408431708496
rxn01000_c	0.005152688964600625
rxn00363_c	0.005279129306322801
rxn01281_c	3.52856767596771e-05
rxn01670_c	0.005279129306322801
rxn03642_c	0.030978863879620955
rxn02522_c	0.01969724889340197
rxn05183_c	0.005396748228855058
rxn01300_c	0.012091225236316018
rxn03886_c	0.00020779342980698734
rxn00786_c	0.14293443529194977
rxn14054_c	0.6492466508011809
rxn03908_c	0.016821466237488286
rxn01100_c	0.005152688964600625
rxn00838_c	0.04993315324569417
rxn02283_c	0.012108868074695857
