reaction	linear_coefficient
rxn02201_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00836_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00390_c	[0.03058876111988897, 0.035613962435817145, 0.029528102290497654]
rxn00423_c	[0.10750369519448288, 0.10810055467043111, 0.10163508416888971]
rxn00364_c	[0.03749103155715691, 0.039039088047556, 0.036683991046515194]
rxn03408_c	[0.004073535350367167, 0.005061189185660576, 0.003815579676815994]
rxn02177_c	[0.0906194988649774, 0.09311078516771691, 0.08464990954527336]
rxn01452_c	[0.002562132195827665, 0.0023786161186941683, 0.0020754760371630944]
rxn00022_c	[0.039951227353456624, 0.04300480823172535, 0.04244664704259038]
rxn00973_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn04031_c	[0.6192812699707129, 0.2249607813937548, 0.21696869346579584]
rxn00322_c	[0.06506090699871796, 0.07419405509168688, 0.09357081531904456]
rxn05457_c	[0.0027777668871368025, 0.003080369073094506, 0.0025909913224787663]
rxn10278_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn04271_c	[0.004424431802588401, 0.004463475186709125, 0.004379005304633122]
rxn05392_c	[0.0008958641266206907, 0.001089349062935408, 0.0008758010609266244]
rxn01358_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn01219_c	[0.03749103155715691, 0.039039088047556, 0.036683991046515194]
rxn02168_c	[0.0023719816044005157, 0.0023786161186941683, 0.0020333149357618127]
rxn05958_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00519_c	[0.0039912021045945874, 0.004196237869771788, 0.003871155674117683]
rxn00258_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00800_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn09177_c	[0.0039912021045945874, 0.004196237869771788, 0.003871155674117683]
rxn00211_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn01210_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00192_c	[0.2679261039516037, 0.6756310166645927, 0.6731824732468648]
rxn01218_c	[0.005152688964600625, 0.005371266072488632, 0.031143639039646766]
rxn05367_c	[0.0008958641266206907, 0.001089349062935408, 0.0008758010609266244]
rxn01199_c	[0.15092076013189, 0.17362061684900684, 0.14325192407935486]
rxn00545_c	[0.0025307671498190627, 0.002517334725959351, 0.002769217796584184]
rxn01547_c	[0.10750369519448288, 0.10810055467043111, 0.10163508416888971]
rxn02320_c	[0.09497335931404645, 0.08755592093855377, 0.09737298009996014]
rxn10287_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn06488_c	[0.6192812699707129, 0.6756310166645927, 0.6731824732468648]
rxn02504_c	[0.036101167955900744, 0.041315705190319886, 0.033537239751019535]
rxn04082_c	[0.6192812699707129, 0.6756310166645927, 0.6731824732468648]
rxn04996_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn05404_c	[0.0008958641266206907, 0.001089349062935408, 0.0008758010609266244]
rxn02796_c	[0.00045871379787580224, 0.0005426345519490985, 0.00045610646061386564]
rxn10262_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn10225_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn03463_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn01486_c	[0.03594434272585774, 0.03790077947617406, 0.030285085702020667]
rxn00898_c	[0.09539090648903596, 0.1023008928990353, 0.09625762732652623]
rxn05040_c	[0.11303962581500111, 0.11131556239175358, 0.10163508416888971]
rxn05400_c	[0.0008958641266206907, 0.001089349062935408, 0.0008758010609266244]
rxn03030_c	[0.004073535350367167, 0.004408395739706773, 0.0036795143041118573]
rxn01636_c	[0.2679261039516037, 0.6756310166645927, 0.6731824732468648]
rxn05235_c	[0.00222887858198627, 0.0024540953608825767, 0.0021406341029650755]
rxn02090_c	[0.11303962581500111, 0.11131556239175358, 0.10163508416888971]
rxn02988_c	[0.10750369519448288, 0.10810055467043111, 0.10163508416888971]
rxn01021_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn00165_c	[0.005152688964600625, 0.005371266072488632, 0.0046798822555422686]
rxn05814_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00539_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00678_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn03667_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00001_c	[0.001732918791975253, 0.002192977982501056, 0.0017860975684542975]
rxn01322_c	[0.04882361474313988, 0.05006517734561945, 0.04401810627663815]
rxn01331_c	[0.00013918239166317076, 0.00017747821811869009, 0.00015139668230460245]
rxn00710_c	[0.043362176106892074, 0.04019983639364261, 0.040118204397019595]
rxn10317_c	[0.003020845993703467, 0.003535284505743562, 0.003087342470793855]
rxn01114_c	[0.12181595775128302, 0.12619313302094448, 0.11021295189035048]
rxn02305_c	[0.12181595775128302, 0.12619313302094448, 0.11021295189035048]
rxn00470_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn08817_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn00910_c	[0.04719459266606812, 0.04300480823172535, 0.03944362677459909]
rxn08296_c	[0.04694563261337484, 0.047239805712350647, 0.04638679360991016]
rxn01297_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn10254_c	[0.04694563261337484, 0.047239805712350647, 0.04638679360991016]
rxn05459_c	[0.0027777668871368025, 0.003080369073094506, 0.0025909913224787663]
rxn05453_c	[0.0027777668871368025, 0.003080369073094506, 0.0025909913224787663]
rxn01682_c	[0.005152688964600625, 0.005371266072488632, 0.004913684726949376]
rxn06493_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn00337_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn01231_c	[0.06506090699871796, 0.07419405509168688, 0.09357081531904456]
rxn08308_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn08823_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn05346_c	[0.0008958641266206907, 0.001089349062935408, 0.0008758010609266244]
rxn03248_c	[0.04931173327164874, 0.05293950848733479, 0.04401810627663815]
rxn05733_c	[0.10402217508752808, 0.10810055467043111, 0.09737298009996014]
rxn00416_c	[0.07167893170653294, 0.08755592093855377, 0.07750360285775611]
rxn12512_c	[0.0039912021045945874, 0.004196237869771788, 0.003871155674117683]
rxn08669_c	[0.11303962581500111, 0.11223355317512612, 0.11021295189035048]
rxn00902_c	[0.10750369519448288, 0.11223355317512612, 0.10163508416888971]
rxn06672_c	[0.002918909594175511, 0.0033353665129202104, 0.0030183515775917577]
rxn02961_c	[0.030410372420715044, 0.03440833454032122, 0.030285085702020667]
rxn00649_c	[0.10402217508752808, 0.10810055467043111, 0.09737298009996014]
rxn01739_c	[0.10750369519448288, 0.10810055467043111, 0.10163508416888971]
rxn02400_c	[0.005152688964600625, 0.005371266072488632, 0.031143639039646766]
rxn01268_c	[0.04931173327164874, 0.05178080012076679, 0.06230452580259406]
rxn00641_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn01974_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00242_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00568_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn08971_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn01635_c	[0.09497335931404645, 0.09052817109716219, 0.09301122251862753]
rxn04384_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00060_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00225_c	[0.0017760457302370806, 0.0020868990475335627, 0.0018263422561555207]
rxn05350_c	[0.0008958641266206907, 0.001089349062935408, 0.0008758010609266244]
rxn08838_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn00780_c	[0.05252076954140382, 0.055630241472375615, 0.053211142795817616]
rxn00148_c	[0.00034893613684569574, 0.00037739621094204216, 0.00044652439211357437]
rxn01102_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn05569_c	[0.001646664915451598, 0.00172378269322176, 0.0015292981326464907]
rxn05358_c	[0.0027777668871368025, 0.003080369073094506, 0.0025909913224787663]
rxn00100_c	[0.0313670063239774, 0.03646055393603848, 0.040118204397019595]
rxn03482_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn00789_c	[0.10750369519448288, 0.10810055467043111, 0.10163508416888971]
rxn05158_c	[0.6192812699707129, 0.6756310166645927, 0.6731824732468648]
rxn08976_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00781_c	[0.00013918239166317076, 0.00017747821811869009, 0.00015139668230460245]
rxn05298_c	[0.0003097298293349434, 0.0004100358832397323, 0.0003545365345107779]
rxn05408_c	[0.0027777668871368025, 0.003080369073094506, 0.0025909913224787663]
rxn00292_c	[0.10750369519448288, 0.10810055467043111, 0.11021295189035048]
rxn02264_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn03185_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn02687_c	[0.004424431802588401, 0.004463475186709125, 0.004379005304633122]
rxn03903_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00097_c	[0.0020936168210741743, 0.0022276576343173513, 0.0018857510808573269]
rxn01217_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn02212_c	[0.03713425415880907, 0.04143198402288041, 0.03944362677459909]
rxn00695_c	[0.04470891276988642, 0.04300480823172535, 0.04373256063532947]
rxn07670_c	[0.0023719816044005157, 0.0026152537428524216, 0.002428096157973814]
rxn00655_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn00692_c	[0.0040970591348736185, 0.005230507485704843, 0.004442246956735044]
rxn01492_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00802_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn02160_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00926_c	[0.005279129306322801, 0.0055242645363840544, 0.025310075736669425]
rxn08884_c	[0.03594434272585774, 0.03790077947617406, 0.033104130254806366]
rxn05413_c	[0.0008958641266206907, 0.001089349062935408, 0.0008758010609266244]
rxn10284_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00913_c	[0.005152688964600625, 0.005371266072488632, 0.031143639039646766]
rxn08521_c	[0.04017078267551684, 0.0366115124204153, 0.033104130254806366]
rxn08809_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn00171_c	[1.9603153755376165e-06, 2.039979518605633e-06, 1.916413700058259e-06]
rxn03958_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00259_c	[0.05979157926927284, 0.05196235829792269, 0.09029758071934504]
rxn00345_c	[0.03058876111988897, 0.035613962435817145, 0.029528102290497654]
rxn00178_c	[0.001646664915451598, 0.0009322706400027743, 0.0008758010609266244]
rxn01362_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn03174_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn00549_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn04779_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn07875_c	[0.004424431802588401, 0.004463475186709125, 0.004379005304633122]
rxn00506_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00340_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn10060_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn05127_c	[0.004424431802588401, 0.004463475186709125, 0.004379005304633122]
rxn00305_c	[0.0039912021045945874, 0.004196237869771788, 0.003871155674117683]
rxn01445_c	[0.005152688964600625, 0.005371266072488632, 0.031143639039646766]
rxn00612_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn08841_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn12405_c	[0.14847820717397014, 0.14743747972770355, 0.14176478704810966]
rxn02159_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn10222_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn01966_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn10263_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn02791_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn08845_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn01292_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00300_c	[0.11303962581500111, 0.11131556239175358, 0.10163508416888971]
rxn02380_c	[0.0014898396854085886, 0.0018257816691520418, 0.001627035231349462]
rxn08792_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn10131_c	[0.0034795597915792693, 0.0037250026009738864, 0.0029493606843896607]
rxn05417_c	[0.0008958641266206907, 0.001089349062935408, 0.0008758010609266244]
rxn08799_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn05234_c	[0.00222887858198627, 0.0024540953608825767, 0.0021406341029650755]
rxn01157_c	[0.031094522486777673, 0.03536916489358447, 0.035605050133382395]
rxn01844_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn05938_c	[1.9603153755376165e-06, 2.039979518605633e-06, 1.916413700058259e-06]
rxn00537_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn03419_c	[0.005279129306322801, 0.0055242645363840544, 0.004975009965351241]
rxn11610_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn10256_c	[0.04694563261337484, 0.047239805712350647, 0.04638679360991016]
rxn04781_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn00758_c	[0.11303962581500111, 0.11223355317512612, 0.11021295189035048]
rxn02975_c	[0.10750369519448288, 0.10810055467043111, 0.11021295189035048]
rxn00272_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn05555_c	[0.17450335409960754, 0.18851246733482796, 0.16852558795572317]
rxn09111_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn06078_c	[0.005152688964600625, 0.005371266072488632, 0.004975009965351241]
rxn03848_c	[0.030410372420715044, 0.03536916489358447, 0.033104130254806366]
rxn05348_c	[0.0008958641266206907, 0.001089349062935408, 0.0008758010609266244]
rxn00907_c	[0.04017078267551684, 0.0366115124204153, 0.033104130254806366]
rxn05458_c	[0.0027777668871368025, 0.003080369073094506, 0.0025909913224787663]
rxn08300_c	[0.04694563261337484, 0.047239805712350647, 0.04638679360991016]
rxn08297_c	[0.04694563261337484, 0.047239805712350647, 0.04638679360991016]
rxn00012_c	[0.0038265356130494275, 0.0044002358216323504, 0.0033038972189004387]
rxn01280_c	[0.6192812699707129, 0.6756310166645927, 0.6731824732468648]
rxn07721_c	[0.0023719816044005157, 0.0026152537428524216, 0.002428096157973814]
