gene	norm_1	norm_2	norm_3
OG1RF_10627	222172	151533	147240
OG1RF_12165	1503	1527	1339
OG1RF_10537	2176	1998	2065
OG1RF_12178	69020	77318	78127
OG1RF_12182	26854	29999	31481
OG1RF_12180	111947	127421	131604
OG1RF_12179	69888	77732	78921
OG1RF_11143	34858	41529	42408
OG1RF_11644	69910	70007	70490
OG1RF_12187	17632	19384	19272
OG1RF_12371	4359	4404	4180
OG1RF_10578	4508	4888	4675
OG1RF_10241	9558	9552	9491
OG1RF_11836	1075	1094	997
OG1RF_10051	2922	2354	2474
OG1RF_10119	2362	2703	2677
OG1RF_10891	48326	48004	49672
OG1RF_10994	617	644	607
OG1RF_10140	36748	36495	36108
OG1RF_11533	10413	9320	9234
OG1RF_10172	80708	76828	80345
OG1RF_11517	1014	1002	826
OG1RF_12316	97	100	119
OG1RF_10471	115	136	109
OG1RF_12275	196	207	206
OG1RF_12103	2231	3295	2586
OG1RF_11167	131790	121868	125819
OG1RF_10198	664	718	686
OG1RF_10414	4231	3838	3822
OG1RF_12279	186	210	253
OG1RF_10276	565	622	554
OG1RF_10579	29708	30608	30166
OG1RF_10985	12122	12889	13133
OG1RF_12278	629	654	613
OG1RF_10197	49622	49289	50113
OG1RF_11063	17548	16801	18541
OG1RF_11302	19056	19233	18940
OG1RF_11530	641	652	678
OG1RF_12003	736	710	652
OG1RF_11969	11067	12071	11483
OG1RF_10935	267	342	297
OG1RF_10941	7727	8126	8182
OG1RF_11400	15112	14866	14607
OG1RF_10964	18066	20386	19152
OG1RF_10909	351	342	408
OG1RF_10215	2386	2954	2676
OG1RF_10099	2089	3261	2074
OG1RF_10100	2194	3285	2142
OG1RF_10101	1536	2207	1526
OG1RF_10274	243	310	294
OG1RF_11956	364	360	353
OG1RF_10472	83	115	106
OG1RF_10469	48	45	48
OG1RF_10098	1733	1630	1589
OG1RF_10413	4152	4033	3979
OG1RF_10717	4709	4920	4803
OG1RF_11902	40587	34763	36791
OG1RF_11285	212410	203843	211906
OG1RF_11282	148282	149500	156006
OG1RF_11283	168263	169301	175046
OG1RF_11441	5729	5720	5472
OG1RF_11280	103700	107294	113552
OG1RF_11281	121323	126163	131915
OG1RF_11286	55618	53539	56158
OG1RF_11920	5825	5709	5730
OG1RF_12237	27	26	24
OG1RF_10955	26204	26194	27319
OG1RF_11805	63852	62661	63282
OG1RF_10710	11620	12404	12051
OG1RF_12375	7801	8018	7899
OG1RF_10619	8336	5682	6020
OG1RF_11806	43293	43607	43897
OG1RF_11085	26335	26492	26746
OG1RF_11417	17033	16874	16617
OG1RF_11632	80785	76145	75937
OG1RF_11152	40932	40189	39415
OG1RF_11213	91230	84607	88832
OG1RF_11988	124206	120200	120313
OG1RF_11214	73370	68130	69683
OG1RF_11992	39531	38840	37980
OG1RF_11211	38499	36296	38654
OG1RF_11985	29544	29653	29028
OG1RF_11215	26244	24209	25175
OG1RF_11986	129080	126633	127276
OG1RF_11210	20223	18819	19718
OG1RF_11991	7556	7310	7271
OG1RF_10077	57	55	64
OG1RF_11212	8448	7755	7912
OG1RF_11990	25839	24052	23921
OG1RF_11987	67703	66155	66000
OG1RF_11989	30321	29043	29059
OG1RF_11208	73454	68295	73173
OG1RF_11209	13550	12919	13347
OG1RF_10278	443	476	456
OG1RF_11927	7788	7837	7801
OG1RF_11928	3267	3024	2957
OG1RF_11622	30394	31861	32338
OG1RF_10545	3986	4025	3790
OG1RF_11514	524	476	459
OG1RF_10216	595	704	712
OG1RF_10753	666	816	768
OG1RF_11976	2018	2262	2112
OG1RF_11975	3984	4953	4341
OG1RF_10214	3870	4757	4589
OG1RF_11323	4221	4229	4075
OG1RF_11009	422	457	490
