	minimum	maximum
rxn03408_c	21.375258210119227	28.50034428019319
rxn00022_c	43.58771403346742	830.9927855155627
rxn01358_c	-142.50444939388763	1000.0000000000001
rxn00258_c	-487.2360196690597	-1.6743952264602058
rxn09177_c	0.07837594677802438	0.10450126236851913
rxn01218_c	-2.9925361494202387	-2.2444021120624535
rxn02988_c	0.28500344280221734	0.3800045904079966
rxn00001_c	371.616549100765	520.4517019048035
rxn00710_c	13.139523698601499	17.519364931491495
rxn00337_c	21.375258210119515	28.500344280193314
rxn08669_c	-0.023750286900053652	-0.01781271517506866
rxn01739_c	0.07125086070039759	0.09500114760057646
rxn00225_c	-1000.0	-84.2614315203779
rxn00148_c	-1000.0	-202.4776316704659
rxn00100_c	0.07837594677314949	0.10450126236851137
rxn05298_c	56.63018408467474	75.50691211299068
rxn03903_c	21.375258210119114	28.500344280193303
rxn00097_c	134.21635638974294	224.47800142472016
rxn01217_c	2.244402112062664	2.9925361494202365
rxn02212_c	0.07125086070039759	0.09500114760065947
rxn00692_c	-238.61527209482097	11.65621907512832
rxn00926_c	8.598868798127114	11.465158397496111
rxn08809_c	-0.04750057380022099	-0.03562543035025101
rxn00171_c	-53.38186883565927	999.9999999999973
rxn03958_c	-323.9539133182001	-242.96543498834956
rxn01362_c	13.139523698601495	17.51936493149152
rxn10060_c	-2.1565260505345654	-1.6173945378990287
rxn01966_c	-58.0932017577951	-43.56990131829252
rxn02380_c	-589.3828881213782	202.43478701163792
rxn10131_c	-5.206062888515476	-3.904547166381917
rxn08799_c	-0.07125086070050202	-0.05343814552520598
rxn05234_c	1.0972632547861314	1.4630176730499507
rxn05938_c	0.0	507.34813577445516
rxn09111_c	0.01781271517506866	0.02375028690016734
rxn01465_c	-17.519364931491282	-13.139523698601238
rxn01643_c	21.375258210119252	28.500344280194078
rxn00392_c	0.007125086070111182	0.00950011475998101
rxn00747_c	-395.2388490975295	507.9567057006024
rxn01334_c	-647.3950027939911	-192.29734840248602
rxn05219_c	3.8475464778214388	5.130061970434992
